game_id,game_date,home_team,away_team,home_score,away_score,margin,closing_spread,home_ortg_10,home_drtg_10,home_net_rtg_10,home_pace_10,home_win_pct_10,home_rest_days,home_b2b,away_ortg_10,away_drtg_10,away_net_rtg_10,away_pace_10,away_win_pct_10,away_rest_days,away_b2b
0022300079,2023-10-27,ATL,NYK,120,126,-6,,,,,100.0,,2,0,,,,100.0,,2,0
0022300080,2023-10-27,BOS,MIA,119,111,8,,,,,100.0,,2,0,,,,100.0,,2,0
0022300081,2023-10-27,CLE,OKC,105,108,-3,,,,,100.0,,2,0,,,,100.0,,2,0
0022300082,2023-10-27,CHI,TOR,104,103,1,,,,,100.0,,2,0,,,,100.0,,2,0
0022300083,2023-10-27,SAS,HOU,126,122,4,,,,,100.0,,2,0,,,,100.0,,2,0
0022300084,2023-10-27,DAL,BKN,125,120,5,,,,,100.0,,2,0,,,,100.0,,2,0
0022300085,2023-10-27,UTA,LAC,120,118,2,,,,,100.0,,2,0,,,,100.0,,2,0
0022300086,2023-10-27,POR,ORL,97,102,-5,,,,,100.0,,2,0,,,,100.0,,2,0
0022300087,2023-10-27,SAC,GSW,114,122,-8,,,,,100.0,,2,0,,,,100.0,,3,0
0022300088,2023-10-28,DET,CHI,118,102,16,,110.33333333333331,101.33333333333331,9.0,100.0,0.6666666666666666,1,1,103.33333333333331,115.0,-11.666666666666686,100.0,0.3333333333333333,1,1
0022300089,2023-10-28,WAS,MEM,113,106,7,,,,,100.0,,3,0,104.66666666666669,110.66666666666669,-6.0,100.0,0.0,1,1
0022300090,2023-10-28,NOP,NYK,96,87,9,,,,,100.0,,3,0,105.66666666666669,108.0,-2.3333333333333144,100.0,0.3333333333333333,1,1
0022300091,2023-10-28,CLE,IND,113,125,-12,,110.66666666666669,115.33333333333331,-4.666666666666629,100.0,0.3333333333333333,1,1,,,,100.0,,3,0
0022300092,2023-10-28,TOR,PHI,107,114,-7,,102.33333333333331,104.0,-1.6666666666666856,100.0,0.3333333333333333,1,1,,,,100.0,,2,0
